0.14,0.02,0.08
0.08,0.27,0.175
0.03,0.4,0.215
0.54,0.28,0.41
0.81,0.97,0.89
0.94,0.12,0.53
0.78,0.04,0.41
0.4,0.55,0.475
0.16,0.56,0.36
0.51,0.76,0.635
0.52,0.78,0.65
0.56,0.92,0.74
0.26,0.52,0.39
0.57,0.5,0.535
0.22,0.47,0.345
0.1,0.42,0.26
0.51,0.56,0.535
0.55,0.56,0.555
0.53,0.53,0.53
0.83,0.18,0.505
0.74,0.28,0.51
0.09,0.45,0.27
0.29,0.21,0.25
0.99,0.18,0.585
0.45,0.15,0.3
0.8,0.58,0.69
0.72,0.85,0.785
0.67,0.35,0.51
0.46,0.16,0.31
0,0.51,0.255
0.82,0.03,0.425
0.06,0.34,0.2
0.87,0.52,0.695
0.6,0.21,0.405
0.48,0.83,0.655
0.02,0.63,0.325
0.72,0.33,0.525
0.02,0.23,0.125
0.68,0.1,0.39
0.63,0.05,0.34
0.53,0.39,0.46
0.05,0.06,0.055
0.67,0.52,0.595
0.7,0.65,0.675
0.89,0.19,0.54
0.1,0.37,0.235
0.52,0.32,0.42
0.35,0.7,0.525
0.22,0.75,0.485
0.58,0.77,0.675
0.6,0.78,0.69
0.69,0.62,0.655
0.13,0.16,0.145
0.85,0.38,0.615
0.83,0.43,0.63
0.67,0.35,0.51
0.52,0.95,0.735
0.97,0.43,0.7
0.98,0.99,0.985
0.67,0.35,0.51
0.81,0.94,0.875
0.31,0.28,0.295
0.72,0.64,0.68
0.1,0.4,0.25
0.98,0.31,0.645
0.01,0.93,0.47
0.52,0.85,0.685
0.44,0.75,0.595
0.69,0.43,0.56
0.93,0.5,0.715
0.66,0.32,0.49
0.82,0.46,0.64
0.52,0.75,0.635
0.84,0.56,0.7
0.35,0.91,0.63
0.71,0.22,0.465
0.08,0.23,0.155
0.96,0.65,0.805
0.47,0.4,0.435
0.89,0.48,0.685
0.06,0.44,0.25
0.4,0.51,0.455
0.41,0.73,0.57
0.82,0.67,0.745
0.5,0.22,0.36
0.74,0.55,0.645
0.05,0.16,0.105
0.68,0.49,0.585
0.12,0.84,0.48
0.76,0.97,0.865
0.8,0.53,0.665
0.05,0.06,0.055
0.6,0.79,0.695
0.84,0.29,0.565
0.89,0.79,0.84
0.28,0.28,0.28
0.53,0.45,0.49
0.44,0.22,0.33
0.92,0.3,0.61
0.05,0.78,0.415
0.93,0.17,0.55
0.05,0.12,0.085
0.17,0.15,0.16
0.16,0.91,0.535
0.55,0.46,0.505
0.52,0.62,0.57
0.64,0.91,0.775
0.68,0.52,0.6
0.39,0.33,0.36
0.9,0.61,0.755
0.89,0.53,0.71
0.77,0.71,0.74
0.94,0.45,0.695
0.01,0.6,0.305
0.71,0.45,0.58
0.57,0.81,0.69
0.78,0.97,0.875
0.04,0.62,0.33
0.47,0.92,0.695
0.89,0.44,0.665
0.62,0.92,0.77
0.74,0.42,0.58
0.26,0.65,0.455
0.63,0.62,0.625
0.76,0.92,0.84
0.82,0.58,0.7
0.39,0.43,0.41
0.89,0.39,0.64
0.39,0.34,0.365
0.18,0.71,0.445
0.13,0.55,0.34
0.19,0.09,0.14
0.89,0.71,0.8
0.83,0.67,0.75
0.87,0.05,0.46
0.04,0.46,0.25
0.44,0.46,0.45
0.98,0.96,0.97
0.79,0.35,0.57
0.45,0.29,0.37
0.82,0.39,0.605
0.84,0.79,0.815
0.63,0.98,0.805
0.41,0.35,0.38
0.07,0.64,0.355
0.23,0.13,0.18
0.74,0.17,0.455
0.31,0.07,0.19
0.72,0.64,0.68
0.52,0.55,0.535
0.81,0.95,0.88
0.74,0.71,0.725
0.88,0.36,0.62
0.14,0.93,0.535
0.44,0.93,0.685
0.6,0.04,0.32
0.89,0.89,0.89
0.89,0.73,0.81
0.71,0.4,0.555
0.46,0.91,0.685
0.29,0.48,0.385
0.6,0.23,0.415
0.82,0.9,0.86
0.71,0.26,0.485
0.15,0.91,0.53
0.23,0.14,0.185
0.82,0.89,0.855
0.47,0.86,0.665
0.65,0.12,0.385
0.91,0.27,0.59
0.84,0.48,0.66
0.9,0.14,0.52
0.03,0.18,0.105
0.23,0.85,0.54
0.28,0.57,0.425
0.35,0.32,0.335
0.18,0.61,0.395
0.26,0.32,0.29
0.35,0.5,0.425
0.88,0.97,0.925
0.64,0.87,0.755
0.78,0.53,0.655
0.69,0.46,0.575
0.21,0.99,0.6
0.41,0.02,0.215
0.08,0.58,0.33
0.49,0.19,0.34
0.06,0.8,0.43
0.58,0.46,0.52
0.2,0.63,0.415
0.66,0.86,0.76
0.98,0.57,0.775
0.55,0.91,0.73
0.95,0.2,0.575
0.63,0.14,0.385
0.51,0.14,0.325
0.24,0.93,0.585
0.62,0.97,0.795
0.69,0.37,0.53
0.44,0.56,0.5
0.97,0.24,0.605
0.44,0.25,0.345
0.48,0.77,0.625
0.82,0.99,0.905
0.54,0.45,0.495
0.74,0.89,0.815
0.3,0.25,0.275
0.3,0.77,0.535
0.89,0.2,0.545
0.97,0.78,0.875
0.5,0,0.25
0.36,0.26,0.31
0.51,0.93,0.72
0.34,0.56,0.45
0.56,0.09,0.325
0.11,0.21,0.16
0.01,0.63,0.32
0.66,0.42,0.54
0.42,0.72,0.57
0.09,0.78,0.435
0.08,0.96,0.52
0.66,0.18,0.42
0.39,0.62,0.505
0.84,0.98,0.91
0.62,0.84,0.73
0.07,0.49,0.28
0.39,0.66,0.525
0.06,0.96,0.51
0.87,0.17,0.52
0.74,0.55,0.645
0.42,0.26,0.34
0.42,0.44,0.43
0.33,0.53,0.43
0.87,0.67,0.77
0.59,0.88,0.735
0.35,0.16,0.255
0.11,0.18,0.145
0.69,0.53,0.61
0.34,0.18,0.26
0.87,0.89,0.88
0.09,0.35,0.22
0.93,0.71,0.82
0.01,0.62,0.315
0.81,0.35,0.58
0.56,0.7,0.63
0.55,0.24,0.395
0.97,0.53,0.75
0.36,0.82,0.59
0.53,0.21,0.37
0.84,0.86,0.85
0.74,0.16,0.45
0.39,0.74,0.565
0.48,0.91,0.695
0.37,0.2,0.285
0.96,0.52,0.74
0.61,0.69,0.65
0.3,0.85,0.575
0.45,0.06,0.255
0.32,0.71,0.515
0.42,0.71,0.565
0.72,0.51,0.615
0.1,0.89,0.495
0.33,0.11,0.22
0.19,0.57,0.38
0.82,0.87,0.845
0,0.13,0.065
0.34,0.01,0.175
0.14,0.92,0.53
0.96,0.19,0.575
0.22,0.1,0.16
0.24,0.6,0.42
0.38,0.04,0.21
0.08,0.85,0.465
0.94,0.12,0.53
0.08,0.29,0.185
0.49,0.82,0.655
0.78,0.12,0.45
0.14,0.23,0.185
0.06,0.5,0.28
0.41,0.37,0.39
0.72,0.8,0.76
0.37,0.09,0.23
0.52,0.47,0.495
0.35,0.28,0.315
0.7,0.53,0.615
0.1,0.13,0.115
0.48,0.32,0.4
0.47,0.11,0.29
0.12,0.06,0.09
0.8,0.47,0.635
0.16,0.06,0.11
0.49,0.53,0.51
0.38,0.17,0.275
0.35,0.21,0.28
0.87,0.9,0.885
0.86,0.45,0.655
0.78,0.85,0.815
0.38,0.44,0.41
0.22,0.29,0.255
0.52,0.6,0.56
0.5,0.65,0.575
0.41,0.54,0.475
0.18,0.35,0.265
0.34,0.46,0.4
0.65,0.02,0.335
0.1,0.99,0.545
0.7,0.93,0.815
0.21,0.65,0.43
0.31,0.84,0.575
0.71,0.34,0.525
0.12,0.13,0.125
0.41,0.79,0.6
0.67,0.65,0.66
0.35,0.63,0.49
0.93,0.03,0.48
0.88,0.83,0.855
0.54,0.19,0.365
0.97,0.5,0.735
0.65,0.94,0.795
0.35,0.02,0.185
0.83,0.89,0.86
0.56,0.84,0.7
0.8,0.86,0.83
0.75,0.84,0.795
0.63,0.73,0.68
0.13,0.38,0.255
0.57,0.17,0.37
0.47,0.36,0.415
0.24,0.61,0.425
0.87,0.52,0.695
0,0.7,0.35
0.52,0.62,0.57
0.14,0.27,0.205
0.45,0.5,0.475
0.95,0.71,0.83
0,0.36,0.18
0.49,0.69,0.59
0.51,0.23,0.37
0.57,0.57,0.57
0.99,0.8,0.895
0.89,0.5,0.695
0.99,0.2,0.595
0.89,0.49,0.69
0.25,0.36,0.305
0.72,0.61,0.665
0.26,0.03,0.145
0.07,0.82,0.445
0.02,0.12,0.07
0.36,0.94,0.65
0.69,0.53,0.61
0.4,0.25,0.325
0.89,0.92,0.905
0.72,0.76,0.74
0.89,0.88,0.885
0.66,0.23,0.445
0.78,0.66,0.72
0.61,0.06,0.335
0.63,0.5,0.565
0.71,0.31,0.51
0.72,0.65,0.685
0.01,0.08,0.045
0.78,0.34,0.56
0.44,0.96,0.7
0.29,0.67,0.48
0.66,0.38,0.52
0.87,0.63,0.75
0.88,0.46,0.67
0.39,0.64,0.515
0.61,0.07,0.34
0.47,0.13,0.3
0.6,0.37,0.485
0.7,0.48,0.59
0.82,0.59,0.705
0.41,0,0.205
0.19,0.52,0.355
0.41,0.05,0.23
0.21,0.04,0.125
0.52,0.32,0.42
0.46,0.54,0.5
0.47,0.76,0.615
0.47,0.22,0.345
0.21,0.27,0.24
0.36,0.15,0.255
0.78,0.15,0.465
0.66,0.98,0.82
0.88,0.64,0.76
0.83,0.58,0.705
0.04,0.63,0.335
0.37,0.3,0.335
0.52,0.85,0.685
0.54,0.29,0.415
0.47,0.14,0.305
0.97,0.81,0.89
0.41,0.83,0.62
0.94,0.07,0.505
0.18,0.07,0.125
